Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Marital_Status
1,1,31,0,1,1967.0,2.5863013698630137,0,1.0,0.0,Married
1,1,30,0,1,1955.0,2.838356164383561,0,1.0,0.0,Married
1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,Married
1,1,31,0,1,1976.0,3.4136986301369863,0,1.0,0.0,Married
1,3,31,1,1,1975.857142857143,4.002739726027397,0,1.0,0.0,Married
1,1,1,0,1,1992.0,0.9123287671232876,0,1.0,0.0,Single
1,1,31,0,1,1959.0,1.9095890410958904,0,1.0,0.0,Married
1,5,22,0,2,1985.0,4.654794520547945,0,1.0,0.0,Married
0,1,70,0,2,1992.0,5.635616438356164,0,1.0,0.0,Married
1,3,69,0,2,1989.0,5.493150684931507,0,1.0,0.0,Single
0,1,59,1,2,1984.0,5.578082191780822,0,1.0,0.0,Single
1,1,22,0,2,1986.0,3.9287671232876713,1,1.0,0.0,Married
1,1,1,0,1,1983.0,1.252054794520548,0,1.0,0.0,Married
1,1,124,1,1,1992.0,4.002739726027397,0,1.0,0.0,Married
1,3,31,0,1,1995.0,4.002739726027397,0,1.0,0.0,Single
1,1,29,1,1,1957.0,4.002739726027397,0,1.0,0.0,Married
1,1,22,1,2,1988.0,5.506849315068493,1,1.0,0.0,Married
1,1,31,0,1,1958.0,0.8986301369863013,0,1.0,0.0,Married
1,3,31,0,1,1991.0,2.1671232876712327,0,1.0,0.0,Married
1,1,37,0,2,1959.0,3.841095890410959,0,1.0,0.0,Married
1,1,24,0,2,1986.7142857142856,5.315068493150685,0,1.0,0.0,Single
0,3,8,0,2,1993.0,5.298630136986302,0,1.0,0.0,Married
1,3,8,0,2,1991.0,4.408219178082192,0,1.0,0.0,Single
1,1,24,0,2,1994.0,5.252054794520548,0,1.0,0.0,Single
0,1,65,0,2,1994.0,3.2164383561643834,0,1.0,0.0,Single
1,1,8,0,2,1992.0,5.03013698630137,0,1.0,0.0,Single
1,1,72,1,2,1990.0,4.964383561643835,0,1.0,0.0,Single
0,1,8,1,2,1993.0,4.964383561643835,0,1.0,0.0,Single
1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,Married
1,1,1,0,1,1980.142857142857,1.915068493150685,0,1.0,0.0,Married
0,1,31,1,1,1970.0,4.002739726027397,0,1.0,0.0,Married
1,1,1,0,1,1994.0,3.9808219178082194,0,1.0,0.0,Married
1,3,31,0,1,1997.0,3.032876712328767,0,1.0,0.0,Single
1,5,69,0,2,1997.0,4.876712328767123,0,1.0,0.0,Single
1,1,107,1,2,1991.0,4.86027397260274,1,1.0,0.0,Single
1,5,27,0,2,1994.0,4.7095890410958905,0,1.0,0.0,Single
1,1,43,0,2,1993.0,4.704109589041096,0,1.0,0.0,Single
0,1,88,0,2,1995.0,3.252054794520548,0,1.0,0.0,Single
0,1,111,0,2,1994.0,3.197260273972603,0,1.0,0.0,Single
1,1,89,1,2,1990.0,3.6986301369863015,0,1.0,0.0,Single
1,1,97,0,3,1978.0,3.5753424657534247,0,1.0,0.0,Married
1,1,101,0,2,2001.0,0.4849315068493151,0,1.0,0.0,Single
1,1,24,0,2,1973.0,3.334246575342466,0,1.0,0.0,Married
0,1,175,1,2,1984.0,3.219178082191781,0,1.0,0.0,Single
1,1,17,0,2,1996.0,3.1890410958904107,0,1.0,0.0,Single
1,1,78,0,2,1992.0,4.457534246575342,0,1.0,0.0,Single
1,1,193,0,3,1993.142857142857,3.717808219178082,0,1.0,0.0,Married
1,1,127,1,3,1972.0,4.16986301369863,0,1.0,0.0,Married
1,1,110,1,3,1981.7142857142856,4.16986301369863,0,1.0,0.0,Married
1,1,79,0,2,1995.0,4.041095890410959,0,1.0,0.0,Single
0,1,84,0,2,1992.0,3.947945205479452,0,1.0,0.0,Married
1,1,88,0,2,1998.0,1.7397260273972603,0,1.0,0.0,Single
1,1,88,0,2,1997.0,3.813698630136986,0,1.0,0.0,Single
1,1,113,0,2,1995.0,2.347945205479452,0,1.0,0.0,Single
1,1,45,0,3,1966.0,2.3013698630136985,1,1.0,0.0,Married
1,4,98,0,2,1985.0,3.558904109589041,0,1.0,0.0,Single
0,1,84,0,2,1990.0,1.5698630136986302,0,1.0,0.0,Married
1,1,24,0,2,1992.0,1.736986301369863,0,1.0,0.0,Single
0,1,104,0,2,1983.0,3.16986301369863,0,1.0,0.0,Married
0,1,143,0,2,1999.0,2.419178082191781,0,1.0,0.0,Single
1,1,22,1,2,1965.0,23.49041095890411,1,0.0,1.0,Married
1,1,7,1,2,1981.0,19.27123287671233,0,0.0,1.0,Married
1,1,36,1,2,1988.0,3.3972602739726026,1,1.0,0.0,Married
1,1,8,0,2,1990.0,3.410958904109589,0,1.0,0.0,Married
1,1,22,0,2,1985.142857142857,3.421917808219178,0,1.0,0.0,Married
1,1,36,0,2,1961.0,3.421917808219178,0,1.0,0.0,Married
1,5,22,0,2,1984.2857142857144,3.421917808219178,0,1.0,0.0,Single
1,1,22,0,2,1995.0,3.421917808219178,0,1.0,0.0,Single
1,1,22,0,2,1991.0,3.3835616438356166,0,1.0,0.0,Single
1,1,22,0,2,1992.0,3.419178082191781,0,1.0,0.0,Single
1,1,27,0,2,1993.0,3.421917808219178,0,1.0,0.0,Married
1,1,22,1,2,1991.0,3.364383561643836,1,1.0,0.0,Single
0,1,157,1,2,1988.0,3.0876712328767124,0,1.0,0.0,Single
1,1,22,0,2,1961.0,2.96986301369863,0,1.0,0.0,Married
0,1,48,0,2,1996.0,1.832876712328767,1,1.0,0.0,Single
1,3,22,0,2,1993.0,2.989041095890411,0,1.0,0.0,Single
1,1,33,0,2,1981.0,1.5452054794520549,1,1.0,0.0,Married
1,1,6,0,2,1984.0,3.084931506849315,1,1.0,0.0,Married
1,1,7,1,2,1996.0,3.0794520547945203,0,1.0,0.0,Married
0,1,89,0,2,1993.0,1.4136986301369865,0,1.0,0.0,Single
1,3,22,0,2,1994.0,1.2602739726027397,0,1.0,0.0,Single
0,1,84,0,2,1986.0,3.0191780821917806,0,1.0,0.0,Married
1,3,9,0,2,1995.0,2.704109589041096,0,1.0,0.0,Married
1,1,27,0,2,1971.0,2.334246575342466,0,1.0,0.0,Married
1,1,7,0,2,1946.0,2.084931506849315,0,1.0,0.0,Married
1,1,33,0,2,1986.2857142857144,2.6794520547945204,0,1.0,0.0,Married
1,3,8,0,2,1993.0,2.602739726027397,0,1.0,0.0,Single
1,5,33,0,2,1994.0,3.695890410958904,0,1.0,0.0,Single
1,1,64,0,2,1984.0,2.5972602739726027,0,1.0,0.0,Married
1,1,27,0,2,1991.0,2.021917808219178,1,1.0,0.0,Single
1,1,27,1,2,1993.0,3.4465753424657533,1,1.0,0.0,Single
1,1,8,0,2,1987.0,2.419178082191781,1,1.0,0.0,Single
1,1,36,0,2,1990.0,3.2986301369863016,0,1.0,0.0,Single
1,1,108,1,2,1992.0,3.2986301369863016,1,1.0,0.0,Single
1,1,6,0,2,1965.0,2.7013698630136984,1,1.0,0.0,Married
0,1,48,0,2,1993.0,2.1671232876712327,0,1.0,0.0,Single
1,1,22,1,2,1990.0,3.334246575342466,1,1.0,0.0,Single
1,1,6,0,2,1981.0,2.4657534246575343,0,1.0,0.0,Married
1,1,48,0,2,1993.0,2.621917808219178,0,1.0,0.0,Single
1,1,27,0,2,1989.0,1.6904109589041096,0,1.0,0.0,Single
1,1,33,0,2,1992.0,4.019178082191781,0,1.0,0.0,Single
1,1,33,0,2,1990.0,3.4876712328767123,0,1.0,0.0,Married
1,1,64,1,2,1971.0,3.336986301369863,0,1.0,0.0,Married
1,3,27,0,2,1996.0,3.295890410958904,0,1.0,0.0,Single
1,3,36,1,2,1994.0,3.295890410958904,0,1.0,0.0,Single
1,1,22,0,2,1989.0,3.2684931506849315,0,1.0,0.0,Married
1,3,22,0,2,1989.0,2.9917808219178084,0,1.0,0.0,Single
1,1,8,0,2,1966.0,3.2684931506849315,0,1.0,0.0,Married
1,1,22,0,2,1987.0,3.254794520547945,0,1.0,0.0,Married
1,3,7,0,2,1952.0,1.556164383561644,0,1.0,0.0,Married
1,3,22,0,2,1985.0,3.512328767123288,0,1.0,0.0,Married
1,1,8,0,2,1996.0,2.564383561643836,0,1.0,0.0,Single
1,3,33,0,2,1987.0,2.241095890410959,0,1.0,0.0,Single
1,3,36,1,2,1987.0,3.156164383561644,0,1.0,0.0,Married
1,4,6,0,2,1971.0,3.1232876712328768,1,1.0,0.0,Married
1,1,64,1,2,1968.0,3.1205479452054794,0,1.0,0.0,Married
1,3,6,0,2,1969.0,3.117808219178082,1,1.0,0.0,Married
1,3,33,0,2,1987.0,3.117808219178082,0,1.0,0.0,Married
1,1,7,1,2,1976.0,3.104109589041096,0,1.0,0.0,Married
1,1,64,0,2,1969.0,3.117808219178082,0,1.0,0.0,Married
1,1,54,0,2,1981.0,3.112328767123288,0,1.0,0.0,Single
1,1,35,0,2,1992.0,1.7863013698630137,0,1.0,0.0,Married
1,1,8,0,2,1988.0,3.084931506849315,0,1.0,0.0,Married
1,3,8,1,2,1981.0,17.104109589041094,0,1.0,0.0,Married
1,1,102,0,2,1978.0,4.087671232876712,0,1.0,0.0,Married
1,1,39,0,2,1993.0,2.6575342465753424,0,1.0,0.0,Single
1,1,7,0,2,1993.0,3.671232876712329,0,1.0,0.0,Single
1,1,8,1,2,1988.0,3.468493150684932,0,1.0,0.0,Married
1,1,7,0,2,1994.0,4.542465753424658,0,1.0,0.0,Single
1,1,80,0,2,1985.0,4.210958904109589,0,1.0,0.0,Married
1,1,6,0,2,1983.0,2.3863013698630136,0,1.0,0.0,Married
1,1,36,0,2,1986.0,4.389041095890411,0,1.0,0.0,Single
1,1,22,0,2,1987.0,3.306849315068493,0,1.0,0.0,Married
1,3,6,0,2,1991.0,3.635616438356165,0,1.0,0.0,Single
1,5,24,0,2,1976.0,3.16986301369863,0,1.0,0.0,Married
1,5,73,1,2,1978.0,3.1232876712328768,1,1.0,0.0,Married
1,1,48,0,2,1991.7142857142856,6.093150684931507,0,1.0,0.0,Married
1,1,37,0,2,1980.0,5.046575342465753,0,1.0,0.0,Married
1,1,31,0,1,1958.0,3.6986301369863015,0,1.0,0.0,Single
1,1,55,0,1,1976.0,2.495890410958904,0,1.0,0.0,Married
1,1,31,0,1,1993.0,1.991780821917808,0,1.0,0.0,Single
1,1,31,0,1,1971.0,2.0,0,1.0,0.0,Married
1,1,31,0,1,1955.0,0.4821917808219178,0,1.0,0.0,Married
1,1,55,0,1,1991.0,2.0,0,1.0,0.0,Married
1,1,22,0,2,1978.0,22.578082191780823,0,0.0,1.0,Married
1,1,31,0,1,1972.0,1.9095890410958904,0,1.0,0.0,Married
1,1,31,0,1,1954.0,3.9178082191780814,0,1.0,0.0,Married
1,1,99,0,2,1959.0,3.526027397260274,0,1.0,0.0,Married
1,1,7,0,2,1974.0,2.6356164383561644,0,1.0,0.0,Married
1,1,22,0,2,1991.0,3.824657534246575,0,1.0,0.0,Single
1,1,6,0,2,1987.0,3.983561643835616,0,1.0,0.0,Married
1,1,99,0,2,1955.0,3.816438356164384,0,1.0,0.0,Married
1,1,31,0,1,1965.0,1.8164383561643835,0,1.0,0.0,Married
1,1,31,0,1,1981.0,2.336986301369863,0,1.0,0.0,Married
1,1,122,1,1,1958.0,2.5863013698630137,0,1.0,0.0,Married
1,1,22,1,2,1986.0,6.03013698630137,1,1.0,0.0,Married
1,1,122,1,1,1991.0,3.336986301369863,0,1.0,0.0,Single
1,1,31,0,1,1992.0,1.263013698630137,0,1.0,0.0,Single
1,1,122,0,1,1961.0,1.1232876712328768,0,1.0,0.0,Married
1,1,122,0,1,1981.0,1.4712328767123288,0,1.0,0.0,Married
1,1,48,0,2,1994.0,3.736986301369863,0,1.0,0.0,Single
1,1,31,0,1,1999.0,0.8794520547945206,0,1.0,0.0,Single
1,1,24,0,2,1972.0,4.23013698630137,0,1.0,0.0,Married
1,5,65,0,2,1994.0,3.632876712328767,0,1.0,0.0,Single
1,1,86,1,2,1993.0,3.852054794520548,0,1.0,0.0,Single
1,1,33,0,2,1992.0,2.3589041095890413,0,1.0,0.0,Single
1,3,6,0,2,1962.0,0.6986301369863014,1,1.0,0.0,Married
0,1,125,1,2,1993.0,2.4794520547945207,0,1.0,0.0,Single
1,1,31,0,1,1958.0,1.1561643835616435,0,1.0,0.0,Married
0,1,125,1,2,1996.0,2.4986301369863013,0,1.0,0.0,Single
0,1,125,0,2,1993.0,4.638356164383562,0,1.0,0.0,Single
1,1,31,0,1,1967.0,0.8767123287671232,0,1.0,0.0,Married
0,1,22,0,2,1970.0,1.5808219178082192,0,1.0,0.0,Married
1,1,24,0,2,1978.0,2.9013698630136986,0,1.0,0.0,Married
1,1,22,0,2,1991.0,1.2575342465753423,0,1.0,0.0,Married
1,1,124,0,1,1964.0,2.835616438356164,0,1.0,0.0,Married
1,5,27,0,2,1993.0,4.7095890410958905,0,1.0,0.0,Single
1,1,51,0,2,2000.0,2.3589041095890413,0,1.0,0.0,Single
1,1,80,0,2,1985.0,4.002739726027397,0,1.0,0.0,Married
1,3,33,0,2,1987.0,3.558904109589041,0,1.0,0.0,Married
1,3,36,0,2,1991.0,1.3945205479452054,0,1.0,0.0,Single
1,1,8,1,2,1987.0,12.578082191780824,0,1.0,0.0,Married
1,1,64,0,2,1976.0,3.1013698630136988,0,1.0,0.0,Married
1,1,1,0,1,1978.0,0.7452054794520548,0,1.0,0.0,Married
1,1,31,0,1,1971.0,2.421917808219178,0,1.0,0.0,Married
1,1,31,0,1,1974.0,1.978082191780822,0,1.0,0.0,Married
1,1,31,0,1,1984.0,2.073972602739726,0,1.0,0.0,Single
1,1,31,0,1,1984.0,0.1726027397260274,0,1.0,0.0,Married
1,1,31,0,1,1986.0,0.1972602739726027,0,1.0,0.0,Married
1,1,1,0,1,1975.0,2.317808219178082,0,1.0,0.0,Married
1,1,7,1,2,1994.0,5.917808219178082,0,1.0,0.0,Single
1,1,135,1,1,1951.0,3.254794520547945,0,1.0,0.0,Married
1,1,37,0,1,1958.0,3.068493150684932,0,1.0,0.0,Married
1,1,43,0,1,1978.0,2.9945205479452053,0,1.0,0.0,Married
1,1,31,0,1,1999.0,2.9068493150684933,0,1.0,0.0,Single
1,1,102,0,2,1963.0,15.646575342465754,0,1.0,0.0,Married
1,1,31,1,1,1994.142857142857,4.002739726027397,0,1.0,0.0,Single
1,1,31,1,1,1975.7142857142856,3.8465753424657536,0,1.0,0.0,Married
1,3,123,0,1,1982.142857142857,3.0027397260273974,0,1.0,0.0,Married
1,1,123,0,1,1976.0,1.83013698630137,0,1.0,0.0,Married
0,1,29,1,1,1968.2857142857144,2.9178082191780823,0,1.0,0.0,Married
1,1,30,1,1,1967.0,2.068493150684932,0,1.0,0.0,Married
1,1,38,0,1,1993.0,1.9589041095890407,0,1.0,0.0,Single
