Employee_No,Net Salary
1632,118540.0
1633,25080.0
1634,1400.0
1635,175850.0
1636,308985.22
1637,158255.57
1639,31609.55
1643,11400.0
1644,79885.0
1646,26725.94
1650,40985.630000000005
1651,109822.5
1652,11480.0
1654,25715.0
1655,13120.0
1656,365270.485
1657,646260.715
1659,910853.585
1660,140358.13
1661,52316.88
1663,99510.63
1664,208022.32
1666,509796.98
1668,15788.7
1669,216850.0
1670,56149.2
1671,1440.0
1672,1440.0
1673,16878.6
1674,78764.48000000001
1675,8521.85
1677,5356.8
1680,11524.5
1681,9423.0
1682,93313.46
1683,459578.625
1685,486093.76333333337
1686,2140.0
1691,22285.559999999998
1693,3280.0
1694,55574.51
1695,81913.505
1697,76096.55
1698,18240.0
1700,75135.98
1702,36657.5
1703,88085.0
1704,72932.26
1705,69403.75
1707,26381.7
1708,109335.125
1709,131863.14
1710,104428.13
1712,70089.0
1713,1345.0
1714,90427.5
1715,0.0
1716,48561.62
1717,582338.2533333334
1718,153523.38
1721,129808.75
1722,63265.0
1725,0.0
1727,8550.0
1728,85303.225
1729,86751.51
1730,83039.95999999999
1731,138300.0
1732,77855.48000000001
1734,99351.1
1735,128181.945
1736,115293.32999999999
1737,94138.33
1738,65295.0
1739,638216.66
1740,0.0
1741,68614.52
1743,15626.13
1744,23581.7
1745,13300.0
1746,6560.0
1747,1640.0
1748,5110.0
1749,38475.625
1750,1968.75
1751,22660.0
1752,7040.0
1753,76726.6
1754,53896.7
1755,96878.35
1756,148818.04
1757,68919.54000000001
1758,38936.05
1759,97939.43
1760,134759.995
1761,70111.29000000001
1762,56044.4
1763,45557.6
1764,42148.1
1765,38116.1
1766,45344.0
1767,30978.0
1768,50700.8
1769,39211.2
1770,50265.2
1771,312194.5
1772,88858.75
1773,86982.5
1774,69461.25
1775,2271.6
1776,52903.4
1778,29287.5
1779,29287.5
1780,134095.0
1781,60233.130000000005
1782,30066.25
1783,10755.9
1784,67902.5
1785,21188.75
1786,52821.25
1787,66363.75
1788,61422.5
1789,40836.25
1790,53801.25
1791,61422.5
1792,35536.25
1793,112071.25
1794,3821.83
1795,1591.25
1796,108463.9
1797,88876.73000000001
1798,64068.56
1800,454527.5
1801,33851.57
1802,33608.18
1803,59797.5
1804,59397.5
1805,263447.5
1806,58945.0
1807,49171.25
1808,91868.68
1809,72999.75
1810,257632.38999999998
1811,47461.25
1812,42017.5
1813,2093.75
1814,320912.89
1815,436660.94
1816,204331.185
1817,70569.13
1818,41272.5
1820,249937.65
1821,17220.0
1822,126667.5
1823,16400.0
1824,29785.0
1825,77750.0
1826,10990.0
1827,148995.0
1828,15732.5
1829,50395.0
1831,100670.0
1833,163891.115
1834,235876.565
1836,60370.0
1837,139240.0
1838,116538.75
1839,115776.4
1840,112948.4
1841,99544.9
1842,80103.1
1843,118640.0
1844,150765.0
1846,169630.0
1847,84510.0
1849,53215.0
1850,147055.0
1851,49990.0
1852,205965.0
1853,12960.0
1854,195215.0
1855,164425.0
1856,32280.8
1857,57972.6
1858,24007.5
1859,28413.3
1860,109365.25
1861,69056.2
1862,126961.7
1863,144875.15
1864,35113.6
1865,163255.26666666666
1866,58980.4
1867,102755.6
1868,25524.9
1869,28241.7
1870,35937.3
1871,30187.9
1872,29361.75
1873,117947.18
1874,29477.3
1875,80144.45
1878,154322.5
1879,9933.23
1880,0.0
1881,49865.6
1882,37662.5
1883,67901.25
1885,30316.85
1886,130942.5
1887,19010.0
1889,51450.0
1890,123162.5
1891,78495.0
1892,62717.5
1893,151215.0
1894,137820.0
1895,94177.5
1896,13120.0
1897,27795.0
1898,4920.0
1899,237492.7
1900,8200.0
1901,16400.0
1902,100425.0
1903,178362.5
1904,47520.925
1906,45520.0
1907,90922.5
1908,4260.0
1909,78237.5
1910,20839.31
1911,15442.5
1912,23425.0
1914,42040.0
1916,105230.0
1917,114292.5
1918,259340.275
1919,1940.0
1920,195060.0
1921,6700.0
1922,0.0
1923,24185.0
1924,10990.0
1925,6260.0
1926,266100.5
1927,23107.5
1928,14220.0
1929,0.0
1930,12146.25
1931,634798.02
1932,87825.0
1933,92225.0
1934,19680.0
1935,87760.0
1936,76562.5
1938,232110.0
1939,13120.0
1941,39331.035
1942,66220.0
1944,217180.0
1947,24000.0
1949,7700.0
1952,0.0
1954,83385.0
1955,45500.0
1957,199208.14500000002
1958,217192.97
1959,364496.52
1960,62224.270000000004
1961,795514.9299999999
1962,0.0
1963,212021.185
1964,1550244.5266666666
1965,67280.0
1966,265877.45999999996
1967,0.0
1969,115352.73
1970,91225.0
1971,81110.0
1975,164500.0
1976,134870.86
1979,28227.0
1980,233698.615
1981,471944.61000000004
1982,126693.855
1983,120570.2
1984,15654.0
1985,213330.08000000002
1986,35715.0
1987,92440.0
1988,103234.17
1989,1229.38
1990,36630.0
1993,182125.0
1995,387314.525
1996,52000.0
1998,52500.0
1999,384202.22
2000,224351.61
2001,0.0
2002,134342.97
2006,241669.83000000002
2007,118900.0
2008,50950.07
2009,99422.29
2010,517721.415
2013,280608.7
2014,73058.55
2015,76326.01000000001
2016,106219.17
2017,2095924.505
2019,456173.435
2020,131400.0
2021,94300.0
2022,0.0
2023,104050.0
2024,69737.5
2025,38830.26
2026,0.0
2027,375984.81
2029,23175.0
2030,0.0
2031,44446.9
2032,0.0
2033,173275.0
2034,165400.0
2035,61700.0
2036,656164.0299999999
2037,19680.0
2038,69442.5
2039,37635.92
2040,229625.81
2042,0.0
2043,42655.0
2044,204650.0
2045,218650.0
2046,2017437.5
2048,94912.5
2049,120862.5
2050,181412.5
2051,162287.5
2053,245161.4
2054,119662.5
2055,47875.0
2056,42000.0
2057,117812.5
2059,125425.0
2060,159912.5
2061,24700.0
2062,108712.5
2063,228935.03999999998
2064,1681125.695
2065,82450.0
2066,33000.0
2068,263012.56
2069,0.0
2070,10823.45
2072,203056.995
2073,212025.0
2074,0.0
2075,10000.0
2076,71475.0
2077,39975.0
2078,31975.0
2079,123922.16999999998
2080,49272.5
2081,31675.0
2082,0.0
2083,0.0
2085,58555.125
2086,105925.0
2088,0.0
2089,193053.405
2090,0.0
2091,0.0
2092,53475.0
2093,3000.0
2094,542743.72
2096,1500.0
2097,234438.975
2098,30375.0
2100,66450.0
2101,160162.5
2102,101512.5
2103,53900.0
2104,58000.0
2105,93562.5
2106,107762.5
2107,329589.6
2109,121350.0
2110,250844.99
2111,282351.67
2113,16900.0
2114,44375.0
2116,179287.5
2117,65807.06
2119,1437060.01
2120,89125.0
2121,179149.515
2122,154037.5
2123,64187.5
2124,416175.0
2125,0.0
2126,235093.00499999998
2127,19364.56
2128,30000.0
2129,0.0
2130,0.0
2132,168537.5
2133,159287.5
2135,655780.835
2136,0.0
2137,135362.5
2138,84650.0
2139,22575.0
2140,108861.68
2142,75473.96
2143,32539.69
2144,2600.0
2146,318037.3
2147,156800.0
2148,187800.0
2149,48075.0
2150,92625.0
2152,8500.0
2153,74287.5
2154,0.0
2156,49575.0
2157,107859.43
2158,208945.9
2159,64450.0
2160,161912.5
2161,314766.55
2162,125150.0
2163,128364.16500000001
2164,508200.0
2165,55946.995
2166,221388.1
2168,239557.3
2169,43189.29
2170,0.0
2193,49950.0
2195,22500.0
2196,57712.5
2197,28380.539999999997
2199,79640.0
2200,95775.0
2202,14300.0
2203,15500.0
2204,88875.0
2207,164314.16999999998
2208,532069.6749999999
2209,481361.69
2210,227489.64
2211,15266.779999999999
2214,77287.5
2215,12000.0
2216,3500.0
2217,18000.0
2218,30750.2
2220,0.0
2221,138925.0
2222,14750.0
2223,2100.0
2225,635388.975
2228,114832.38500000001
2229,33248.34
2230,86187.5
2231,63937.5
2233,209891.935
2236,56139.68
2237,218923.43
2238,549653.36
2239,25752.559999999998
2242,1500.0
2243,88437.5
2244,20737.199999999997
2245,51349.66
2246,63750.0
2247,58051.485
2249,189204.4
2254,122660.0
2255,98363.785
2256,19800.0
2257,46022.5
2258,12564.69
2259,54170.0
2260,36955.0
2261,17520.0
2262,51075.0
2263,45355.0
2264,66495.0
2265,48540.0
2267,404411.3
2268,362057.3
2270,53635.0
2274,39360.0
2275,80350.0
2276,160925.0
2277,17333.32
2278,45000.0
2279,54127.5
2280,48975.0
2281,16500.0
2286,94179.16500000001
2290,0.0
2291,0.0
2296,53700.0
2297,79337.5
2298,5200.0
2299,61637.5
2300,70117.5
2301,16650.0
2302,82807.5
2310,45250.0
2313,46300.0
2314,0.0
2318,9100.0
2319,2550.0
2320,11250.0
2321,75620.0
2322,79809.435
2324,25975.0
2325,249510.99
2327,53462.5
2328,10500.0
2329,574972.535
2330,150900.0
2331,54550.0
2332,221112.2
2333,19475.0
2334,65750.0
2337,37375.0
2339,597724.17
2341,65782.5
2342,92200.0
2343,42212.5
2345,37720.0
2346,117057.5
2347,131011.1
2348,50552.5
2349,17907.5
2350,1390.0
2351,22325.0
2360,52252.5
2361,50167.5
2362,38886.725
2363,20452.5
2364,49022.5
2366,25999.92
2368,0.0
2369,60960.0
2370,322164.97
2371,153750.08
2372,50250.0
2376,372498.83999999997
2377,392445.15499999997
2378,634544.175
2379,58117.5
2380,71200.0
2381,26612.5
2382,106405.535
2383,35490.0
2384,357719.26999999996
2386,95022.905
2387,314374.6
2388,13180.0
2389,14750.0
2390,33708.34
2391,0.0
2392,80100.0
2393,241648.91999999998
2394,55975.0
2396,210765.7
2397,29617.5
2398,60454.42
2399,7140.0
2402,276223.5
2404,103425.0
2406,823069.17
2408,85225.0
2410,391824.595
2411,12000.0
2427,896166.66
2428,1445163.33
2429,752208.47
2430,696780.0
2431,39000.0
2432,410100.0
2433,70500.0
2434,208040.0
2435,79070.0
2436,129926.91
2437,6194.07
2438,61570.0
2439,61790.0
2440,101025.0
2441,10980.0
2442,11310.0
2444,13000.0
2446,91666.61
2450,551337.0
2451,36720.0
2452,64010.0
2453,528064.5
2454,530864.5
2455,578598.5
2457,0.0
2458,408459.9
2459,69850.0
2460,28500.0
2461,392537.485
2462,67850.0
2466,85858.3
2468,710184.6
2469,57550.0
2470,15000.0
2472,60220.0
2473,132728.3
2474,48430.0
2475,332523.2
2476,55190.0
2477,332022.0
2478,607200.0
2480,96690.0
2481,49691.979999999996
2482,92960.0
2483,78040.0
2484,159208.0
2485,173791.9
2486,108700.0
2487,62350.0
2488,2500.0
2489,129020.0
2490,18400.0
2491,396785.0
2493,2000.0
2495,62755.0
2496,137539.49
2498,20250.0
2499,77585.0
2500,64475.0
2504,0.0
2505,442187.0
2506,1218679.0
2507,47775.0
2508,12500.0
2509,108925.0
2510,120965.0
2512,67335.0
2513,56325.0
2514,55535.0
2515,65225.0
2516,18920.0
2517,19250.0
2518,20420.0
2522,76460.0
2523,121430.0
2524,22560.0
2526,0.0
2527,153151.66999999998
2529,31475.0
2530,127185.0
2531,0.0
2532,586866.985
2533,385628.0
2535,37675.0
2536,0.0
2538,3000.0
2541,44325.0
2542,30375.0
2543,35985.0
2544,51315.0
2545,44575.0
2546,290946.8
2548,4400.0
2550,2600.0
2551,350391.8
2552,0.0
2553,16100.0
2554,80422.44
2555,229159.165
2556,289133.17
2557,11500.0
2558,19500.0
2559,120291.58
2560,29555.0
2561,249633.6
2562,381554.0
2565,181072.66
2568,37525.0
2569,592322.0
2570,7800.0
2572,540734.8
2573,499140.13
2574,723168.3200000001
2575,146990.0
2583,24300.0
2584,177023.0
2588,217645.0
2590,104583.33
2591,288709.0
2592,194755.0
2593,32847.33
2594,567629.9
2596,137171.66
2597,254315.0
2600,0.0
2601,287197.27
2604,297471.66000000003
2606,63360.0
2607,34440.0
2608,152210.0
2609,0.0
2610,238525.0
2614,280.0
2617,24100.0
2621,10700.0
2622,0.0
2631,875785.0
2632,162230.0
2633,105455.0
2634,19500.0
2635,20129.379999999997
2637,291125.0
2640,39689.29
2641,16500.0
2642,0.0
2643,303625.0
2644,42800.0
2648,53500.0
2649,53500.0
2650,50080.0
2651,25480.0
2653,0.0
2654,0.0
2655,176875.0
2656,355573.79
2660,116187.5
2663,170775.0
2664,86025.0
2665,162800.0
2666,64073.13
2667,82302.5
2668,220395.96
2669,185410.0
2670,40660.0
2671,82602.5
2672,81418.75
2673,365405.32
2674,137312.5
2675,55123.13
2676,6000.0
2677,172950.0
2678,81982.5
2679,93323.625
2680,71970.0
2681,139905.0
2682,33720.0
2683,125925.0
2684,182625.0
2686,0.0
2688,22880.0
2689,15320.0
2692,159650.0
2695,49220.0
2696,0.0
2697,59920.0
2698,35580.0
2700,41000.0
2701,130716.66
2705,97225.0
2707,31960.0
2709,351189.05
2711,3280.0
2712,42020.0
2713,56640.0
2714,30660.0
2715,46191.67
2716,43920.0
2717,1500.0
2718,265261.19
2719,16000.0
2721,59360.0
2722,63360.0
2723,64205.0
2725,17520.0
2726,21360.0
2727,16160.0
2728,113975.0
2729,107050.0
2730,29080.0
2731,33380.0
2732,27960.0
2734,135412.5
2735,45358.5
2736,27549.870000000003
2737,160458.34
2738,8030.0
2739,6460.0
2740,13020.0
2741,17940.0
2742,49101.25
2743,60484.38
2744,64407.5
2745,50484.38
2746,46328.75
2747,31250.0
2748,83250.0
2749,33675.630000000005
2750,47825.0
2751,38500.0
2752,1640.0
2753,29280.0
2754,29280.0
2755,29280.0
2756,0.0
2757,35360.0
2758,20988.129999999997
2759,81650.0
2760,49105.31
2761,70654.25
2763,12600.0
2764,12320.0
2765,5060.0
2766,45860.0
2767,10820.0
2768,48780.0
2769,8800.01
2770,38099.729999999996
2771,797522.5700000001
2772,32000.0
2773,19020.0
2774,30360.0
2775,7400.0
2776,0.0
2777,36361.88
2778,26720.0
2779,34542.5
2780,3587.5
2781,27111.25
2782,24497.5
2783,30903.75
2784,42933.75
2785,31826.25
2786,1640.0
2788,21120.0
2789,129675.0
2790,39975.0
2791,124025.0
2793,15320.0
2796,36380.0
2797,42240.0
2798,22000.0
2799,26240.0
2800,19680.0
2801,11480.0
2802,25420.0
2803,12300.0
2804,14760.0
2805,14760.0
2806,25420.0
2807,11480.0
2808,11480.0
2809,11480.0
2810,25420.0
2811,26752.5
2812,21457.81
2813,129483.33
2815,49635.0
2816,16400.0
2817,1640.0
2818,17220.0
2819,17220.0
2820,14100.0
2821,32100.0
2822,32100.0
2823,25680.0
2824,23540.0
2825,21840.0
2826,29960.0
2827,25680.0
2828,21400.0
2829,15120.0
2831,63416.67
2835,4920.0
2836,74350.0
2843,22100.0
2845,10700.0
2846,10560.0
2847,27820.0
2848,16400.0
2849,17120.0
2850,17120.0
2851,21980.0
2852,10560.0
2856,49475.0
2857,19260.0
2888,88633.34
2890,96283.34
2922,0.0
2923,0.0
2936,44725.0
2962,5220.0
2963,38035.0
2972,54481.67
2973,71108.33499999999
3041,27841.66
3043,24310.0
3044,25985.0
3045,26075.0
3084,12933.33
3095,0.0
