,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
907,1,1,31,0,1,1960.0,0.14246575342465753,0,1.0,0.0,1.0,0.0
908,1,1,31,0,1,1968.0,0.1232876712328767,0,1.0,0.0,1.0,0.0
909,1,1,31,0,1,1980.0,0.14794520547945206,0,0.0,0.0,1.0,0.0
910,1,1,31,0,1,1972.0,0.07945205479452055,0,0.0,0.0,1.0,0.0
911,1,1,31,0,1,1997.0,0.136986301369863,0,0.0,0.0,1.0,0.0
912,1,1,31,0,1,1976.0,0.136986301369863,0,0.0,0.0,1.0,0.0
913,1,1,31,1,1,1970.0,0.8794520547945206,0,0.0,0.0,1.0,0.0
914,1,1,31,0,1,1975.142857142857,0.1726027397260274,0,1.0,0.0,1.0,0.0
915,1,1,31,0,1,1993.0,0.33424657534246577,0,1.0,0.0,1.0,0.0
916,1,1,31,0,1,1951.0,0.052054794520547946,0,1.0,0.0,1.0,0.0
917,1,1,31,0,1,1979.0,0.08767123287671233,0,1.0,0.0,1.0,0.0
918,1,1,29,0,1,1963.0,0.3726027397260274,0,1.0,0.0,1.0,0.0
919,1,1,163,1,3,1970.0,0.8767123287671232,0,1.0,0.0,1.0,0.0
920,1,1,33,0,2,1994.0,0.25753424657534246,0,0.0,1.0,1.0,0.0
921,1,1,31,0,1,1980.0,0.09041095890410959,0,1.0,0.0,1.0,0.0
922,1,1,31,0,1,1989.0,0.005479452054794521,0,1.0,0.0,1.0,0.0
923,1,1,31,1,1,1999.0,0.8383561643835616,0,0.0,1.0,1.0,0.0
924,1,1,31,0,1,1968.0,0.10136986301369863,0,1.0,0.0,1.0,0.0
925,1,1,31,0,1,1956.0,0.14520547945205478,0,1.0,0.0,1.0,0.0
926,1,1,31,0,1,1966.0,0.14520547945205478,0,1.0,0.0,1.0,0.0
927,1,1,31,0,1,1995.0,0.20821917808219179,0,0.0,1.0,1.0,0.0
928,1,1,31,0,1,2002.0,0.15342465753424658,0,0.0,1.0,1.0,0.0
929,1,1,31,1,1,2002.0,0.8301369863013699,0,0.0,1.0,1.0,0.0
930,1,1,31,0,1,2003.0,0.005479452054794521,0,0.0,1.0,1.0,0.0
931,1,1,31,0,1,1994.0,0.0,0,1.0,0.0,1.0,0.0
932,1,1,31,1,1,1994.0,0.8191780821917808,0,0.0,1.0,1.0,0.0
933,1,1,56,1,1,1996.0,0.8328767123287671,0,0.0,1.0,1.0,0.0
934,1,1,31,0,1,1988.0,0.04657534246575343,0,0.0,1.0,1.0,0.0
935,1,1,53,0,1,1999.0,0.0821917808219178,0,0.0,1.0,1.0,0.0
936,1,1,69,1,2,2001.0,0.8383561643835616,1,0.0,1.0,1.0,0.0
